date,CEER_BROADM_REAL,CEER_BROAD_XUSM_REAL,CEER_MCM_REAL,CEER_OITPM_REAL,CEER_BROADNM_NOMINAL,CEER_BROADN_XUSM_NOMINAL,CEER_MCNM_NOMINAL,CEER_OITPNM_NOMINAL
1999-01-01,96.48,94.7,96.27,97.63,96.69,95.07,96.58,97.24
1999-02-01,98.88,98.53,98.47,101.06,99.16,99.07,98.77,101.23
1999-03-01,98.17,98.55,97.98,99.18,98.31,98.92,98.13,99.23
1999-04-01,99.98,100.36,100.16,99.03,100.15,100.56,100.4,98.83
1999-05-01,102.08,102.69,102.35,100.65,102.05,102.71,102.39,100.24
1999-06-01,102.2,103.39,102.39,101.19,101.9,103.07,102.18,100.42
1999-07-01,100.8,102.04,100.99,99.78,100.47,101.49,100.75,98.98
1999-08-01,99.86,100.07,99.83,100,99.59,99.66,99.6,99.52
1999-09-01,100.33,99.92,100.29,100.51,100.23,99.71,100.14,100.71
1999-10-01,100.02,99.31,99.78,101.3,100.03,99.25,99.68,101.89
1999-11-01,100.79,100.47,100.83,100.58,100.93,100.49,100.83,101.46
1999-12-01,100.42,99.98,100.67,99.09,100.5,100,100.54,100.25
2000-01-01,101.71,101.44,102.13,99.55,102.31,101.98,102.4,101.86
2000-02-01,102.42,103.32,103.12,99.02,102.88,103.58,103.19,101.38
2000-03-01,101.86,103.03,102.57,98.4,102.11,102.66,102.56,99.94
2000-04-01,101.17,102.67,101.81,98.02,101.83,102.76,102.22,99.94
2000-05-01,100.7,103.75,101.31,97.71,101.03,103.47,101.42,99.15
2000-06-01,101.71,104.24,101.92,100.57,101.74,103.39,101.79,101.48
2000-07-01,101.87,104.62,102.42,99.16,101.76,103.54,102.13,99.95
2000-08-01,101.74,104.91,102.53,97.91,101.86,104.25,102.39,99.32
2000-09-01,102.01,106.12,102.88,97.82,102.26,105.62,102.78,99.78
2000-10-01,100.87,105.81,101.62,97.21,101.06,105.23,101.44,99.23
2000-11-01,99.32,104.42,100.05,95.77,99.31,103.7,99.61,97.82
2000-12-01,100.22,104.54,100.88,96.98,100.2,104.05,100.34,99.47
