,Index for food purchased from stores,All-items index
January 2020,3.8,2.4
February 2020,2.4,2.2
March 2020,2.4,0.9
April 2020,4,-0.2
May 2020,3.5,-0.4
June 2020,3,0.7
July 2020,2.4,0.1
August 2020,1.6,0.1
September 2020,1.3,0.5
October 2020,2.3,0.7
November 2020,1.6,1
December 2020,0.5,0.7
January 2021,0.1,1
February 2021,1.3,1.1
March 2021,1.3,2.2
April 2021,0.1,3.4
May 2021,0.9,3.6
June 2021,0.7,3.1
July 2021,1,3.7
August 2021,2.6,4.1
September 2021,4.2,4.4
October 2021,3.9,4.7
November 2021,4.7,4.7
December 2021,5.7,4.8
January 2022,6.5,5.1
February 2022,7.4,5.7
March 2022,8.7,6.7
April 2022,9.7,6.8
May 2022,9.7,7.7
June 2022,9.4,8.1
July 2022,9.9,7.6
August 2022,10.8,7
September 2022,11.4,6.9
October 2022,11,6.9
November 2022,11.4,6.8
December 2022,11,6.3
January 2023,11.4,5.9
February 2023,10.6,5.2
March 2023,9.7,4.3
April 2023,9.1,4.4
May 2023,9,3.4
June 2023,9.1,2.8
July 2023,8.5,3.3
August 2023,6.9,4
September 2023,5.8,3.8
October 2023,5.4,3.1
November 2023,4.7,3.1
December 2023,4.7,3.4
January 2024,3.4,2.9
February 2024,2.4,2.8
March 2024,1.9,2.9
April 2024,1.4,2.7
May 2024,1.5,2.9
June 2024,2.1,2.7
July 2024,2.1,2.5
August 2024,2.4,2
September 2024,2.4,1.6
October 2024,2.7,2
November 2024,2.6,1.9
December 2024,1.9,1.8
January 2025,1.9,1.9
