Effective date,S&P Transportation Select Industry Index
2019-11-20,4184.12
2019-11-21,4183.79
2019-11-22,4217.11
2019-11-25,4283.25
2019-11-26,4292.98
2019-11-27,4292.68
2019-11-29,4253.33
2019-12-02,4200.13
2019-12-03,4121.76
2019-12-04,4140.51
2019-12-05,4145.45
2019-12-06,4198
2019-12-09,4202.3
2019-12-10,4179.41
2019-12-11,4193.47
2019-12-12,4231.2
2019-12-13,4208.88
2019-12-16,4250.37
2019-12-17,4271.77
2019-12-18,4242.15
2019-12-19,4248.57
2019-12-20,4281.95
2019-12-23,4268.1
2019-12-24,4280.01
2019-12-26,4288.74
2019-12-27,4266.91
2019-12-30,4237.88
2019-12-31,4253.6
2020-01-02,4294.38
2020-01-03,4255.11
2020-01-06,4236.8
2020-01-07,4249.22
2020-01-08,4284.34
2020-01-09,4307.44
2020-01-10,4296.03
2020-01-13,4336.73
2020-01-14,4387.62
2020-01-15,4398.98
2020-01-16,4463.34
2020-01-17,4442.79
2020-01-21,4374.28
2020-01-22,4352.7
2020-01-23,4396.3
2020-01-24,4343.17
2020-01-27,4241.42
2020-01-28,4276.14
2020-01-29,4268.83
2020-01-30,4266.87
2020-01-31,4159.09
2020-02-03,4189.51
2020-02-04,4277.18
2020-02-05,4341.87
2020-02-06,4316.59
2020-02-07,4335.97
2020-02-10,4337.16
2020-02-11,4365.57
2020-02-12,4408.22
2020-02-13,4399.1
2020-02-14,4346.61
2020-02-18,4346.84
2020-02-19,4374.84
2020-02-20,4435.35
2020-02-21,4390.31
2020-02-24,4197.97
2020-02-25,3979.76
2020-02-26,3843.94
2020-02-27,3675.84
2020-02-28,3637.42
2020-03-02,3660.44
2020-03-03,3557.95
2020-03-04,3668.59
2020-03-05,3428.35
2020-03-06,3400.92
2020-03-09,3113.66
2020-03-10,3273.31
2020-03-11,3091.37
2020-03-12,2730.31
2020-03-13,2957.33
2020-03-16,2631.88
2020-03-17,2789.56
2020-03-18,2519.57
2020-03-19,2567.39
2020-03-20,2511.41
2020-03-23,2531.05
2020-03-24,2840.63
2020-03-25,2932.36
2020-03-26,3030.26
2020-03-27,2872.58
2020-03-30,2885.99
2020-03-31,2889.42
2020-04-01,2699.63
2020-04-02,2686.86
2020-04-03,2605.37
2020-04-06,2812.43
2020-04-07,2881.95
2020-04-08,2990.54
2020-04-09,3070.16
2020-04-13,2961.56
2020-04-14,3013.98
2020-04-15,2949.55
2020-04-16,2926.09
2020-04-17,3022.62
2020-04-20,2932.59
2020-04-21,2883.4
2020-04-22,2887.98
2020-04-23,2932.72
2020-04-24,2991.48
2020-04-27,3097.93
2020-04-28,3155.87
2020-04-29,3282.04
2020-04-30,3176.68
2020-05-01,3069.22
2020-05-04,3015.71
2020-05-05,3041.7
2020-05-06,2997.49
2020-05-07,3057.81
2020-05-08,3183.4
2020-05-11,3150.5
2020-05-12,3051.8
2020-05-13,2970.21
2020-05-14,2980.8
2020-05-15,2959.63
2020-05-18,3180.16
2020-05-19,3139.82
2020-05-20,3223.34
2020-05-21,3227.78
2020-05-22,3246.6
2020-05-26,3387.17
2020-05-27,3499.52
2020-05-28,3433.66
2020-05-29,3440.88
2020-06-01,3461.54
2020-06-02,3509.72
2020-06-03,3616.85
2020-06-04,3713.16
2020-06-05,3814.57
2020-06-08,3894.51
2020-06-09,3784.75
2020-06-10,3687.68
2020-06-11,3376.65
2020-06-12,3484.92
2020-06-15,3536.76
2020-06-16,3591.08
2020-06-17,3577.93
2020-06-18,3583.4
2020-06-19,3518.2
2020-06-22,3486.38
2020-06-23,3524.64
2020-06-24,3377.63
2020-06-25,3404.38
2020-06-26,3336.48
2020-06-29,3455.01
2020-06-30,3492.02
2020-07-01,3453.45
2020-07-02,3486.93
2020-07-06,3563.07
2020-07-07,3517.23
2020-07-08,3543.38
2020-07-09,3449.42
2020-07-10,3551.33
2020-07-13,3496.03
2020-07-14,3552.58
2020-07-15,3702.26
2020-07-16,3678.96
2020-07-17,3707.78
2020-07-20,3647.8
2020-07-21,3668.4
2020-07-22,3644.77
2020-07-23,3649.53
2020-07-24,3612.85
2020-07-27,3632.3
2020-07-28,3594.93
2020-07-29,3625.57
2020-07-30,3609.58
2020-07-31,3600.19
2020-08-03,3609.65
2020-08-04,3662.17
2020-08-05,3713.87
2020-08-06,3737.49
2020-08-07,3795.46
2020-08-10,3904.77
2020-08-11,3929.51
2020-08-12,3939.6
2020-08-13,3899.35
2020-08-14,3905.99
2020-08-17,3868.2
2020-08-18,3847.14
2020-08-19,3864.78
2020-08-20,3873.35
2020-08-21,3874.11
2020-08-24,3967.81
2020-08-25,3953.5
2020-08-26,3947.59
2020-08-27,4002.89
2020-08-28,4053.91
2020-08-31,3986.12
2020-09-01,4031.14
2020-09-02,4066.82
2020-09-03,3981.29
2020-09-04,4000.57
2020-09-08,3977.26
2020-09-09,4012.39
2020-09-10,3985.77
2020-09-11,3997.51
2020-09-14,4021.25
2020-09-15,4053.36
2020-09-16,4083.38
2020-09-17,4069.88
2020-09-18,3998.58
2020-09-21,3843.8
2020-09-22,3853.06
2020-09-23,3798.97
2020-09-24,3783.79
2020-09-25,3827.03
2020-09-28,3917.2
2020-09-29,3851.36
2020-09-30,3838.64
2020-10-01,3863.2
2020-10-02,3916.22
2020-10-05,3966.99
2020-10-06,3918.15
2020-10-07,4013.72
2020-10-08,4066.78
2020-10-09,4086.2
2020-10-12,4076.9
2020-10-13,4030.61
2020-10-14,4066.99
2020-10-15,4085.59
2020-10-16,4036.9
2020-10-19,4004.22
2020-10-20,4073.4
2020-10-21,4035.45
2020-10-22,4136.26
2020-10-23,4163.54
2020-10-26,4040.41
2020-10-27,3956.36
2020-10-28,3796.74
2020-10-29,3897.26
2020-10-30,3874.77
2020-11-02,3899.54
2020-11-03,4001.82
2020-11-04,3981.04
2020-11-05,4111.37
2020-11-06,4072.31
2020-11-09,4369.31
2020-11-10,4390.28
2020-11-11,4324.06
2020-11-12,4240.56
2020-11-13,4382.25
2020-11-16,4517.26
2020-11-17,4525.57
2020-11-18,4513.52
2020-11-19,4522.92
2020-11-20,4455.19
2020-11-23,4545
2020-11-24,4708.98
2020-11-25,4682.6
2020-11-27,4668.96
2020-11-30,4598.23
2020-12-01,4642.53
2020-12-02,4675.59
2020-12-03,4744.06
2020-12-04,4818.35
2020-12-07,4789.58
2020-12-08,4804.96
2020-12-09,4803.09
2020-12-10,4823.47
2020-12-11,4772.3
2020-12-14,4675.23
2020-12-15,4739.13
2020-12-16,4721.79
2020-12-17,4767.08
2020-12-18,4745.99
2020-12-21,4713.09
2020-12-22,4688.2
2020-12-23,4732.06
2020-12-24,4729.04
2020-12-28,4736.44
2020-12-29,4705.46
2020-12-30,4735.23
2020-12-31,4722.43
2021-01-04,4610.39
2021-01-05,4684.79
2021-01-06,4821.42
2021-01-07,4868.79
2021-01-08,4859.19
2021-01-11,4844.48
2021-01-12,4935.35
2021-01-13,4898.45
2021-01-14,4992.76
2021-01-15,4893.17
2021-01-19,4917.45
2021-01-20,5009.41
2021-01-21,4937.03
2021-01-22,4919.5
2021-01-25,4898.9
2021-01-26,4850.58
2021-01-27,4695.39
2021-01-28,4744.81
2021-01-29,4615.27
2021-02-01,4702.44
2021-02-02,4783.24
2021-02-03,4819.16
2021-02-04,4952.79
2021-02-05,4968.78
2021-02-08,5066.9
2021-02-09,5104.1
2021-02-10,5131.23
2021-02-11,5083.5
2021-02-12,5152.07
2021-02-16,5178.5
2021-02-17,5185.26
2021-02-18,5191.85
2021-02-19,5333.8
2021-02-22,5394.36
2021-02-23,5429.62
2021-02-24,5520.12
2021-02-25,5386.46
2021-02-26,5385.35
2021-03-01,5489.16
2021-03-02,5496.04
2021-03-03,5563.9
2021-03-04,5434.4
2021-03-05,5534.34
2021-03-08,5649.42
2021-03-09,5660.27
2021-03-10,5680.5
2021-03-11,5739.1
2021-03-12,5846.9
2021-03-15,5934.02
2021-03-16,5800.31
2021-03-17,5869.25
2021-03-18,5833.05
2021-03-19,5830.76
2021-03-22,5731.28
2021-03-23,5566.97
2021-03-24,5555.12
2021-03-25,5677.28
2021-03-26,5820.33
2021-03-29,5766.86
2021-03-30,5883.61
2021-03-31,5833.89
2021-04-01,5900.85
2021-04-05,5978.19
2021-04-06,5969.59
2021-04-07,5916.7
2021-04-08,5925.3
2021-04-09,5959.34
2021-04-12,5957.32
2021-04-13,5939.77
2021-04-14,5947.36
2021-04-15,5973.63
2021-04-16,5969.85
2021-04-19,5906.88
2021-04-20,5821.22
2021-04-21,5862.87
2021-04-22,5822.99
2021-04-23,5929.47
2021-04-26,5908.79
2021-04-27,5945.92
2021-04-28,5924.68
